Season,twaDeltaB,twaPrice,l2sr,podRate,maxNegativeTwaDeltaB,isNewMaxTwaDeltaB,Capacity_at_Smin_100,Capacity_at_Smin_200,Capacity_at_Smin_300,Capacity_at_Smin_400,Capacity_at_Smin_500,Capacity_at_Smin_600,Capacity_at_Smin_700,Capacity_at_Smin_800,Capacity_at_Smin_900,Capacity_at_Smin_1000
4,5471.606,29.433,29.97,0.0,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,10140.034,8.124,6.093,0.0,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,24314.502,4.218,3.054,0.0,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,24520.484,1.979,1.265,0.0,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,24437.454,1.52,0.947,0.0,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,19319.065,1.273,0.768,0.0,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,26461.947,1.281,0.823,0.0,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,23110.913,1.191,0.743,0.0,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,16739.052,1.138,0.685,0.0,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,11064.325,1.067,0.652,0.0,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,13524.903,1.083,0.675,0.0,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,21052.139,1.105,0.71,0.0,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,42618.969,1.196,0.77,0.0,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,36592.335,1.15,0.694,0.0,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,33054.105,1.126,0.697,0.0,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,29616.059,1.095,0.701,0.0,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,26615.448,1.08,0.691,0.0,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,38165.601,1.098,0.734,0.0,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,39924.523,1.089,0.745,0.0,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,44392.149,1.094,0.749,0.0,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,58189.085,1.108,0.769,0.0,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,45405.909,1.074,0.727,0.0,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,71089.422,1.112,0.755,0.0,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,50760.06,1.072,0.702,0.0,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,58755.496,1.077,0.729,0.0,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29,30722.555,1.041,0.685,0.0,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,18670.971,1.022,0.682,0.0,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,25618.559,1.028,0.691,0.0,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32,17621.632,1.02,0.682,0.0,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33,26133.24,1.027,0.691,0.0,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34,25806.707,1.026,0.689,0.0,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35,26390.504,1.023,0.686,0.0,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36,8219.58,1.01,0.665,0.0,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
37,9159.308,1.009,0.666,0.0,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
38,12121.697,1.013,0.667,0.0,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
39,14520.823,1.013,0.674,0.0,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40,14220.368,1.013,0.683,0.0,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41,28181.198,1.025,0.707,0.0,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
42,43514.174,1.036,0.734,0.0,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
43,23796.613,1.019,0.722,0.0,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
44,36409.505,1.027,0.731,0.0,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
45,23021.091,1.017,0.718,0.0,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
46,36931.008,1.027,0.73,0.0,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
47,35013.696,1.024,0.733,0.0,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
48,40280.522,1.028,0.737,0.0,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
49,69332.407,1.042,0.753,0.0,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
50,37364.133,1.024,0.728,0.0,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
51,49515.775,1.029,0.732,0.0,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
52,36305.161,1.023,0.719,0.0,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
53,47660.025,1.028,0.731,0.0,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
54,33480.28,1.019,0.72,0.0,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
55,20564.174,1.013,0.71,0.0,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
56,-2441.766,0.998,0.693,0.0,-2441.766,True,24.418,12.209,8.139,6.104,4.884,4.07,3.488,3.052,2.713,2.442
57,1713.011,1.0,0.703,0.071,-2441.766,False,24.418,12.209,8.139,6.104,4.884,4.07,3.488,3.052,2.713,2.442
58,6417.274,1.003,0.706,0.083,-2441.766,False,24.418,12.209,8.139,6.104,4.884,4.07,3.488,3.052,2.713,2.442
59,-2452.89,0.997,0.7,0.0,-2452.89,True,24.529,12.264,8.176,6.132,4.906,4.088,3.504,3.066,2.725,2.453
60,1868.644,0.998,0.705,0.073,-2452.89,False,24.529,12.264,8.176,6.132,4.906,4.088,3.504,3.066,2.725,2.453
61,3576.417,1.002,0.708,0.048,-2452.89,False,24.529,12.264,8.176,6.132,4.906,4.088,3.504,3.066,2.725,2.453
62,7395.214,1.004,0.71,0.0,-2452.89,False,24.529,12.264,8.176,6.132,4.906,4.088,3.504,3.066,2.725,2.453
63,-187.266,0.997,0.702,0.0,-2452.89,False,24.529,12.264,8.176,6.132,4.906,4.088,3.504,3.066,2.725,2.453
64,-174.578,0.997,0.7,0.001,-2452.89,False,24.529,12.264,8.176,6.132,4.906,4.088,3.504,3.066,2.725,2.453
65,2942.957,1.0,0.702,0.006,-2452.89,False,24.529,12.264,8.176,6.132,4.906,4.088,3.504,3.066,2.725,2.453
66,11387.062,1.006,0.707,0.009,-2452.89,False,24.529,12.264,8.176,6.132,4.906,4.088,3.504,3.066,2.725,2.453
67,4799.302,1.001,0.706,0.0,-2452.89,False,24.529,12.264,8.176,6.132,4.906,4.088,3.504,3.066,2.725,2.453
68,4.528,0.999,0.703,0.0,-2452.89,False,24.529,12.264,8.176,6.132,4.906,4.088,3.504,3.066,2.725,2.453
69,5856.376,1.003,0.708,0.0,-2452.89,False,24.529,12.264,8.176,6.132,4.906,4.088,3.504,3.066,2.725,2.453
